name,abbreviation,locale,country,track_name,is_active,latitude,longitude
GREAT MEADOW,GRM,VA,US,GREAT MEADOW,,38.831284,-77.811871
GREENELEE COUNTY FAIR @ DUNCAN,DUN,AZ,US,GREENELEE COUNTY FAIR @ DUNCAN,,32.734368,-109.099216
GULFSTREAM PARK,GP,FL,US,GULFSTREAM PARK,1,25.97888,-80.13651
GULFSTREAM PARK WEST,GPW,FL,US,GULFSTREAM PARK WEST,,25.95735,-80.247145
HARNEY COUNTY FAIR,BRN,OR,US,HARNEY COUNTY FAIR,,43.571312,-119.059696
HASTINGS RACECOURSE,HST,BC,CA,HASTINGS RACECOURSE,1,49.286281,-123.038509
HAWTHORNE,HAW,IL,US,HAWTHORNE RACE COURSE,1,41.829198,-87.753473
HAZEL PARK,HP,,US,HAZEL PARK,,,
HIALEAH PARK,HIA,FL,US,HIALEAH PARK,1,25.841072,-80.289974
HOLLYWOOD PARK,HOL,CA,US,BETFAIR HOLLYWOOD PARK,0,33.950711,-118.337753
HOOSIER PARK,HOO,IN,US,HOOSIER PARK,1,40.068176,-85.640888
HORSEMEN'S ATOKAD DOWNS,ATO,NE,US,HORSEMEN'S ATOKAD DOWNS,,42.446261,-96.433611
HORSEMEN'S PARK,HPO,NE,US,HORSEMEN'S PARK,1,41.205218,-96.012072
HUMBOLDT COUNTY FAIR,HCF,CA,US,HUMBOLDT COUNTY FAIR,,40.587103,-124.265842
INDIANA GRAND RACE COURSE,IND,IN,US,INDIANA GRAND,1,39.585794,-85.823772
JEROME COUNTY FAIR,JRM,ID,US,JEROME COUNTY FAIR,,42.724191,-114.528265
KALISPELL,KSP,,US,KALISPELL,,,
KAMLOOPS,KAM,BC,CA,KAMLOOPS,,,
KEENELAND,KEE,KY,US,KEENELAND,1,38.046393,-84.608427
KENTUCKY DOWNS,KD,KY,US,KENTUCKY DOWNS,1,36.638618,-86.562089
KIN PARK,KIN,BC,CA,KIN PARK,,50.27464,-119.276333
LA MESA PARK,LAM,,US,LA MESA PARK,,,
LAUREL BROWN RACETRACK,LBT,UT,US,LAUREL BROWN RACETRACK,,40.555222,-111.948195
LAUREL PARK,LRL,MD,US,LAUREL PARK,1,39.10362,-76.83108
LES BOIS PARK,BOI,ID,US,LES BOIS PARK,,43.649678,-116.272774
LETHBRIDGE,LBG,AB,CA,LETHBRIDGE,,49.684957,-112.784185
LEXINGTON,LEX,KY,US,LEXINGTON,,38.151635,-84.516792
LINCOLN RACE COURSE,LNN,NE,US,LINCOLN RACE COURSE,,40.830242,-96.69136
LITTLE EVERGLADES,LEV,FL,US,LITTLE EVERGLADES,,28.416258,-82.17737
LONE STAR PARK,LS,TX,US,LONE STAR PARK,1,32.77472,-96.98836
LOS ALAMITOS,LA,CA,US,LOS ALAMITOS RACE COURSE,1,34.808662,-118.040143
LOS ALAMITOS RACE COURSE,LRC,CA,US,LOS ALAMITOS RACE COURSE,1,34.808662,-118.040143
LOUISIANA DOWNS,LAD,LA,US,HARRAH'S LOUISIANA DOWNS CASINO AND RACETRACK,1,32.547772,-93.636628
MAHONING VALLEY RACE COURSE,MVR,OH,US,MAHONING VALLEY RACE COURSE,,41.120089,-80.768099
MALVERN,MAL,PA,US,MALVERN,,39.997769,-75.486116
MANOR DOWNS,MAN,,US,MANOR DOWNS,,,
MARIAS FAIR,MAF,,US,MARIAS FAIR,,,
MARQUIS DOWNS,MD,SK,CA,MARQUIS DOWNS,,52.100548,-106.676559
MEADOWLANDS,MED,NJ,US,MEADOWLANDS,,40.811795,-74.067507
MELVILLE DISTRICT AGRIPAR,MDA,SK,CA,MELVILLE DISTRICT AGRIPAR,,50.940258,-102.77976
MIDDLEBURG,MID,VA,US,MIDDLEBURG,,38.990503,-77.735739
MILES CITY,MC,MT,US,MILES CITY,,46.401705,-105.843143
MILLARVILLE,MIL,AB,CA,MILLARVILLE,,50.771425,-114.283905
MINIDOKA COUNTY FAIR @ RUPERT,RUP,ID,US,MINIDOKA COUNTY FAIR @ RUPERT,,42.619623,-113.651934
MONKTON,MON,MD,US,MONKTON,,39.578636,-76.61582
MONMOUTH PARK,MTH,NJ,US,MONMOUTH PARK,1,40.309656,-74.015622
MORVEN PARK,MOR,VA,US,MORVEN PARK,,39.146437,-77.55661
MOUNTAINEER CASINO RACETRACK AND RESORT,MNR,WV,US,MOUNTAINEER CASINO RACETRACK AND RESORT,1,40.582801,-80.653809999999993
MT. PLEASANT MEADOWS,MPM,MI,US,MT. PLEASANT MEADOWS,,43.646945,-84.768105
NORTH DAKOTA HORSE PARK,FAR,ND,US,NORTH DAKOTA HORSE PARK,,46.902372,-96.88096
NORTHLANDS PARK,NP,AB,CA,NORTHLANDS PARK,1,53.563814,-113.457683
NORTHVILLE DOWNS,NVD,,US,NORTHVILLE DOWNS,,,
OAK RIDGE,OKR,,US,OAK RIDGE,,,
OAK TREE AT HOLLYWOOD PARK,OTH,CA,US,OAK TREE AT HOLLYWOOD PARK,0,33.950551,-118.343868
OAK TREE AT PLEASANTON,OTP,,US,OAK TREE AT PLEASANTON,1,,
OAK TREE AT SANTA ANITA,OSA,,US,OAK TREE AT SANTA ANITA,0,,
OAKLAWN PARK,OP,AR,US,OAKLAWN PARK,1,34.48516,-93.05699
OCALA TRAINING CENTER,OTC,FL,US,OCALA TRAINING CENTER,,29.173447,-82.21447
ONEIDA COUNTY FAIR,ONE,ID,US,ONEIDA COUNTY FAIR,,42.178543,-112.243624
PALM BEACH POLO CLUB,PMB,FL,US,PALM BEACH POLO CLUB,,26.63457,-80.270834
PARX RACING,PRX,PA,US,PARX RACING,1,40.115233,-74.957829
PENN NATIONAL,PEN,PA,US,PENN NATIONAL RACE COURSE,1,40.394848,-76.660398
PENNSYLVANIA HUNT CUP,UNI,PA,US,PENNSYLVANIA HUNT CUP,,39.87872,-75.775452
PERCY WARNER,PW,TN,US,PERCY WARNER,,36.066862,-86.884689
PHILADELPHA PARK,PHA,PA,US,PARX RACING,1,40.11752,-74.959344
PICOV DOWNS,PIC,,CA,PICOV DOWNS,,,
PIMLICO,PIM,MD,US,PIMLICO RACE COURSE,1,39.353713,-76.673412
PINNACLE RACE COURSE,PNL,MI,US,PINNACLE RACE COURSE,,42.165439,-83.364086
PLEASANTON,PLN,CA,US,PLEASANTON,,,
